Bandit,Reward,Algorithm
Bandit1,2,Thompson Sampling
Bandit1,4,Thompson Sampling
Bandit1,3,Thompson Sampling
Bandit1,4,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
Bandit1,1,Thompson Sampling
